age_bin,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
35-49,24,7,0.2916666666666667,0.2916666666666667,0.3333333333333333
0-12,14,4,0.2857142857142857,0.5,0.35714285714285715
18-34,112,22,0.19642857142857142,0.35714285714285715,0.2857142857142857
50+,15,2,0.13333333333333333,0.5333333333333333,0.4
13-17,14,1,0.07142857142857142,0.5,0.42857142857142855
