age_bin,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
0-12,14,6,0.42857142857142855,0.5,0.35714285714285715
18-34,112,23,0.20535714285714285,0.35714285714285715,0.33035714285714285
35-49,24,4,0.16666666666666666,0.2916666666666667,0.125
50+,15,2,0.13333333333333333,0.5333333333333333,0.4
13-17,14,0,0.0,0.5,0.5
