pclass,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
Class 1,45,10,0.2222222222222222,0.5555555555555556,0.5111111111111111
Class 3,100,17,0.17,0.24,0.19
Class 2,34,4,0.11764705882352941,0.5882352941176471,0.5294117647058824
