pclass,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
Class 1,45,11,0.24444444444444444,0.5555555555555556,0.5777777777777777
Class 3,100,21,0.21,0.24,0.13
Class 2,34,4,0.11764705882352941,0.5882352941176471,0.5294117647058824
