age_bin,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
35-49,24,7,0.2916666666666667,0.2916666666666667,0.3333333333333333
0-12,14,3,0.21428571428571427,0.5,0.42857142857142855
18-34,112,19,0.16964285714285715,0.35714285714285715,0.29464285714285715
50+,15,2,0.13333333333333333,0.5333333333333333,0.4
13-17,14,0,0.0,0.5,0.5
