pclass,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
Class 1,45,9,0.2,0.5555555555555556,0.4
Class 3,100,14,0.14,0.24,0.26
Class 2,34,3,0.08823529411764706,0.5882352941176471,0.5588235294117647
