age_bin,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
18-34,112,20,0.17857142857142858,0.35714285714285715,0.32142857142857145
50+,15,2,0.13333333333333333,0.5333333333333333,0.4
35-49,24,3,0.125,0.2916666666666667,0.25
0-12,14,1,0.07142857142857142,0.5,0.5714285714285714
13-17,14,0,0.0,0.5,0.5
