pclass,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
Class 1,45,12,0.26666666666666666,0.5555555555555556,0.5555555555555556
Class 3,100,18,0.18,0.24,0.24
Class 2,34,4,0.11764705882352941,0.5882352941176471,0.5294117647058824
