age_bin,samples,errors,error_rate,actual_survival_rate,predicted_survival_rate
35-49,24,8,0.3333333333333333,0.2916666666666667,0.2916666666666667
50+,15,3,0.2,0.5333333333333333,0.4666666666666667
18-34,112,20,0.17857142857142858,0.35714285714285715,0.3392857142857143
0-12,14,2,0.14285714285714285,0.5,0.6428571428571429
13-17,14,1,0.07142857142857142,0.5,0.42857142857142855
