model,baseline_accuracy,engineered_accuracy,accuracy_delta,baseline_precision,engineered_precision,precision_delta,baseline_recall,engineered_recall,recall_delta,baseline_f1,engineered_f1,f1_delta
LogisticRegression,0.8044692737430168,0.8547486033519553,0.05027932960893855,0.7931034482758621,0.8412698412698413,0.04816639299397918,0.6666666666666666,0.7681159420289855,0.10144927536231885,0.7244094488188977,0.803030303030303,0.0786208542114053
GradientBoosting,0.7988826815642458,0.8268156424581006,0.027932960893854775,0.7894736842105263,0.8166666666666667,0.027192982456140324,0.6521739130434783,0.7101449275362319,0.05797101449275366,0.7142857142857143,0.7596899224806202,0.04540420819490587
RandomForest,0.8268156424581006,0.8100558659217877,-0.016759776536312887,0.8166666666666667,0.7611940298507462,-0.055472636815920406,0.7101449275362319,0.7391304347826086,0.02898550724637672,0.7596899224806202,0.75,-0.009689922480620172
